date,ensemble
2019-04-08,1080027.4813001198
2019-04-09,1067040.4957561365
2019-04-10,1069534.790700381
2019-04-11,1074761.4092605624
2019-04-12,1085360.0467548307
2019-04-15,1084230.6199528405
2019-04-16,1082041.926728887
2019-04-17,1073265.5054127402
2019-04-18,1077055.3164555258
2019-04-22,1077344.5741364188
2019-04-23,1087217.5690457053
2019-04-24,1089261.9835793204
2019-04-25,1090717.0755230612
2019-04-26,1086361.627095861
2019-04-29,1078381.478582067
2019-04-30,1088847.6426464743
2019-05-01,1081494.8692490286
2019-05-02,1085515.6629978842
2019-05-03,1092722.9793221182
2019-05-06,1088768.3269974417
2019-05-07,1068486.4928051657
2019-05-08,1070208.6305233664
2019-05-09,1068034.9461704916
2019-05-10,1073296.0211979577
2019-05-13,1046988.1945397088
2019-05-14,1055233.0626331992
2019-05-15,1062205.7378517813
2019-05-16,1071494.3897740073
2019-05-17,1068689.51054923
2019-05-20,1060565.105502767
2019-05-21,1071062.985202474
2019-05-22,1060964.278712911
2019-05-23,1048809.7719494528
2019-05-24,1061378.4372288412
2019-05-28,1048931.3557964987
2019-05-29,1040286.9531456656
2019-05-30,1041470.1809727378
2019-05-31,1033084.2406861016
2019-06-03,1033049.2487713523
2019-06-04,1057613.7203404135
2019-06-05,1075626.366214437
2019-06-06,1082609.550300283
2019-06-07,1091063.8675858206
2019-06-10,1093604.2977101034
2019-06-11,1084842.4208122916
2019-06-12,1083024.069957418
2019-06-13,1087945.8129669852
2019-06-14,1082820.6189324087
2019-06-17,1083084.1802536673
2019-06-18,1096157.011336965
2019-06-19,1102297.670354528
2019-06-20,1114872.888322515
2019-06-21,1105158.864009542
2019-06-24,1102469.404369039
2019-06-25,1090189.072431249
2019-06-26,1086541.357909841
2019-06-27,1090806.858079595
2019-06-28,1100334.187686605
2019-07-01,1099464.3800160117
2019-07-02,1104305.9257370655
2019-07-03,1113472.132009191
2019-07-05,1114374.6230408377
2019-07-08,1113417.083916206
2019-07-09,1115863.7931573596
2019-07-10,1117450.088629644
2019-07-11,1121521.9876482836
2019-07-12,1123053.963463679
2019-07-15,1118475.4519536672
2019-07-16,1117770.9494305083
2019-07-17,1114584.6108426691
2019-07-18,1118552.9820202498
2019-07-19,1108455.328783958
2019-07-22,1111567.0248926217
2019-07-23,1118172.892230824
2019-07-24,1124427.277063795
2019-07-25,1115345.5084308067
2019-07-26,1121678.7839746492
2019-07-29,1118499.1338946417
2019-07-30,1119489.1612372624
2019-07-31,1110979.8524569585
2019-08-01,1099109.4961154468
2019-08-02,1102628.9138483703
2019-08-05,1069846.403575176
2019-08-06,1084197.4037277172
2019-08-07,1087213.3538547962
2019-08-08,1107503.1015767134
2019-08-09,1097924.3783881357
2019-08-12,1086190.6595153732
2019-08-13,1096197.7800375652
2019-08-14,1068419.1361418655
2019-08-15,1074889.4919090346
2019-08-16,1086817.2141344887
2019-08-19,1097585.2324845025
2019-08-20,1091468.230569658
2019-08-21,1100632.5146978854
2019-08-22,1099534.6453416003
2019-08-23,1075874.1494147356
2019-08-26,1085980.9660607355
2019-08-27,1082278.5833640536
2019-08-28,1092684.9541878118
2019-08-29,1105643.5875199584
