date,ensemble,gspc
2020-02-25,1183940.595302017,1182826.7321477202
2020-02-26,1174190.7659427123,1178357.3733112395
2020-02-27,1123740.9499190997,1126317.290782957
2020-02-28,1111707.4397771584,1117038.3054931157
2020-03-02,1149595.9390866105,1168465.8878483104
2020-03-03,1125170.6022176263,1135622.7700516495
2020-03-04,1169480.875394735,1183548.9930903334
2020-03-05,1122565.5666360776,1143400.5529579557
2020-03-06,1101369.7826597155,1123901.1691506696
2020-03-09,1015464.1242163436,1038518.7373357397
2020-03-10,1014448.6665359474,1089817.726964316
2020-03-11,1008722.156817388,1036560.0291710708
2020-03-12,1008629.1460102136,937970.0258016274
2020-03-13,1008629.1460102136,1025080.4743068409
2020-03-16,1008629.1460102136,902234.264007422
2020-03-17,1008629.1460102136,956327.5837398975
2020-03-18,1008629.1460102136,906760.395655726
2020-03-19,1008629.1460102136,911029.2495372784
2020-03-20,1008629.1460102136,871527.4655785981
2020-03-23,1008629.1460102136,845997.0551988664
2020-03-24,1008629.1460102136,925375.0467337171
2020-03-25,1008629.1460102136,936049.2584916896
2020-03-26,1008629.1460102136,994471.9897716625
2020-03-27,1008629.1460102136,960970.8612389397
2020-03-30,1008629.1460102136,993178.7697377834
2020-03-31,1003429.9946155024,977275.274286532
2020-04-01,981796.9874381132,934135.9685764794
2020-04-02,991391.0488715814,955461.6829676948
2020-04-03,982606.7305756258,940998.7399205181
2020-04-06,1036627.016939526,1007180.4221497049
2020-04-07,1035955.6148022248,1005565.858769553
2020-04-08,1043616.5035837396,1039811.8650561034
2020-04-09,1047882.7267481552,1054876.0460275186
2020-04-13,1037309.071952945,1044216.8813725174
2020-04-14,1055604.898346221,1076141.2950663043
2020-04-15,1035280.4663250725,1052433.43041638
2020-04-16,1047932.4213029492,1058555.1088607127
2020-04-17,1075933.0535240066,1086917.6055720437
2020-04-20,1055617.4300701015,1067482.3796577938
2020-04-21,1025045.6533412464,1034737.5757547783
2020-04-22,1049213.466105576,1058464.3646753102
2020-04-23,1052412.3106258595,1057893.4055840445
2020-04-24,1069466.6733723271,1072617.226625064
2020-04-27,1097317.8954143708,1088399.7913714559
2020-04-28,1080126.060427852,1082693.9853129198
2020-04-29,1103754.4233130754,1111476.231577684
2020-04-30,1088679.4387906715,1101236.8164761162
2020-05-01,1059411.1384731133,1070337.1751141227
2020-05-04,1064149.414412147,1074885.9235736409
2020-05-05,1082627.3695421545,1084603.4903740082
2020-05-06,1080117.560134248,1077033.5975038426
2020-05-07,1095787.3371258476,1089424.471389734
2020-05-08,1105278.1797447605,1107804.7384527333
2020-05-11,1107989.5371021174,1107952.163136444
2020-05-12,1085075.5407010918,1085238.7919853406
2020-05-13,1063671.3759707718,1066287.5658310754
2020-05-14,1088321.9763494777,1078576.3409691995
2020-05-15,1089355.0726525553,1082811.2234771731
2020-05-18,1120652.4798411236,1116921.0673288624
2020-05-19,1107228.4880158252,1105210.8209902472
2020-05-20,1121511.8320942607,1123613.7971779758
2020-05-21,1115163.2154736142,1114879.2770005492
2020-05-22,1122469.455486801,1117503.3809824928
2020-05-26,1145655.5748449306,1131236.5856923284
2020-05-27,1160347.0747140064,1148009.766769904
2020-05-28,1161625.0961609078,1145589.860283495
2020-05-29,1173254.8370210752,1151102.8234088612
2020-06-01,1182360.7289881925,1155420.880393994
2020-06-02,1189685.1672774495,1164907.8480334913
2020-06-03,1204299.113960947,1180807.6509441365
2020-06-04,1208573.0554002533,1176829.861575884
2020-06-05,1244316.7025185963,1207676.5149801755
2020-06-08,1276476.7003501358,1222218.8476503904
2020-06-09,1257205.8739906787,1212686.5540749494
2020-06-10,1235546.3548062448,1206243.4399708288
2020-06-11,1133325.348676717,1135142.5551457861
2020-06-12,1163709.1378984535,1149968.4749345728
2020-06-15,1175328.9736995916,1159527.2624888646
2020-06-16,1196649.3069739542,1181514.6801567485
2020-06-17,1187512.415766781,1177260.873378167
2020-06-18,1185740.415462182,1177960.425196051
2020-06-19,1174351.610331487,1171305.543888153
2020-06-22,1180173.0055742578,1178913.2852995342
2020-06-23,1181753.66429486,1183991.3594549808
2020-06-24,1140946.219801343,1153379.0900656811
2020-06-25,1151506.2843540537,1166019.4873830504
2020-06-26,1125165.610043354,1137770.4439818512
2020-06-29,1167573.1947111988,1154479.3748528755
2020-06-30,1171264.6315160133,1172269.758554001
2020-07-01,1174372.6413438425,1178157.052983342
2020-07-02,1179086.524380891,1183507.3596949962
2020-07-06,1195900.1459686442,1202303.499143792
2020-07-07,1171518.3251054278,1189296.3402306915
2020-07-08,1180310.1277578557,1198605.5120399902
2020-07-09,1158095.478744524,1191841.0545895973
2020-07-10,1174954.9186454893,1204315.1029526477
2020-07-13,1175767.4112121493,1193039.6532704371
2020-07-14,1200504.659102386,1209033.9852206062
