,account_value,date,daily_return
392,1146095.3029978038,2019-10-23,-0.0025052878911679
393,1161722.8838388682,2019-10-24,0.0136354985490194
394,1162620.4321748973,2019-10-25,0.0007726010639157
395,1170167.8155977488,2019-10-28,0.0064917003124853
396,1171614.423496461,2019-10-29,0.0012362396909482
397,1175855.400337434,2019-10-30,0.0036197717917441
398,1170252.769478059,2019-10-31,-0.0047647277528913
399,1179169.085853791,2019-11-01,0.0076191371712874
400,1176502.0629045726,2019-11-04,-0.0022617816063992
401,1179112.2363397838,2019-11-05,0.0022185880650027
402,1186011.9832269908,2019-11-06,0.0058516455639756
403,1180829.881763673,2019-11-07,-0.0043693500037141
404,1185889.1025087596,2019-11-08,0.0042844619900119
405,1183045.0141870738,2019-11-11,-0.0023982751133044
406,1184619.3441850902,2019-11-12,0.0013307439523746
407,1191098.4305422069,2019-11-13,0.0054693403319137
408,1195651.847500062,2019-11-14,0.0038228720994808
409,1210969.0294840098,2019-11-15,0.0128107375202688
410,1205548.6740228892,2019-11-18,-0.0044760479658428
411,1204950.7469026805,2019-11-19,-0.000495979244217
412,1194559.9839098216,2019-11-20,-0.0086233923001154
413,1179396.07421515,2019-11-21,-0.0126941383429234
414,1181047.6902162791,2019-11-22,0.0014003912996134
415,1191144.5674669505,2019-11-25,0.0085490851337446
416,1197914.4117815257,2019-11-26,0.0056834783110935
417,1203263.5847704173,2019-11-27,0.0044654049874368
418,1194422.3079530955,2019-11-29,-0.007347747350809
419,1182612.7274324656,2019-12-02,-0.0098872739080603
420,1175445.3415491343,2019-12-03,-0.0060606365186786
421,1194737.8983766795,2019-12-04,0.0164129765507592
422,1196640.248710847,2019-12-05,0.0015922742023604
423,1205475.5710718394,2019-12-06,0.0073834407379418
424,1200485.218155122,2019-12-09,-0.0041397379063271
425,1196409.937916017,2019-12-10,-0.0033946942265294
426,1203015.4825289012,2019-12-11,0.0055211382015019
427,1211021.7752458812,2019-12-12,0.0066551867646371
428,1208191.0897066356,2019-12-13,-0.0023374357068607
429,1217394.147400117,2019-12-16,0.0076172202989148
430,1213563.7912485362,2019-12-17,-0.0031463566337665
431,1211502.8412210704,2019-12-18,-0.0016982626231336
432,1216294.596809602,2019-12-19,0.0039552161377531
433,1224144.5743868111,2019-12-20,0.0064540100710801
434,1223182.922210908,2019-12-23,-0.000785570753671
435,1224224.522442079,2019-12-24,0.0008515490302039
436,1226173.1562273265,2019-12-26,0.0015917290901514
437,1225796.5233881236,2019-12-27,-0.000307161217231
438,1223087.7619249583,2019-12-30,-0.0022097969862715
439,1228586.545471406,2019-12-31,0.0044958209195009
440,1230488.605415559,2020-01-02,0.0015481692772592
