,date,account_value
337,2019-05-07,943934.5458244135
338,2019-05-08,945475.7872546961
339,2019-05-09,941023.2936404994
340,2019-05-10,945996.879827862
341,2019-05-13,928710.6439260294
342,2019-05-14,927213.6455062678
343,2019-05-15,929851.979015713
344,2019-05-16,934234.4148362925
345,2019-05-17,937130.2345155528
346,2019-05-20,937346.2524780085
347,2019-05-21,950170.9820302775
348,2019-05-22,944630.9270137599
349,2019-05-23,931630.4250434687
350,2019-05-24,930848.5603860667
351,2019-05-28,916720.997015362
352,2019-05-29,913432.7976774026
353,2019-05-30,914904.5173143198
354,2019-05-31,902210.3649610331
355,2019-06-03,896628.9907249262
356,2019-06-04,921742.9931672862
357,2019-06-05,926996.8895219614
358,2019-06-06,928246.2409700204
359,2019-06-07,941420.3932365229
360,2019-06-10,949044.767035847
361,2019-06-11,946083.0960582545
362,2019-06-12,939953.7005828669
363,2019-06-13,947226.2744994528
364,2019-06-14,947497.666722811
365,2019-06-17,946498.9880500203
366,2019-06-18,954198.3616080648
367,2019-06-19,963761.0982509024
368,2019-06-20,962719.1828418142
369,2019-06-21,967995.5247531302
370,2019-06-24,960817.580998934
371,2019-06-25,951077.7441382773
372,2019-06-26,947737.8984198935
373,2019-06-27,962360.4654326803
374,2019-06-28,960050.7815604574
375,2019-07-01,961870.3694625265
376,2019-07-02,960586.6766620047
377,2019-07-03,966115.2595229513
378,2019-07-05,966211.4635291464
379,2019-07-08,965400.9910903341
380,2019-07-09,961173.8293948538
381,2019-07-10,965711.366357363
382,2019-07-11,992066.5470557577
383,2019-07-12,1008966.6567931538
384,2019-07-15,1009120.1879001028
385,2019-07-16,1009238.1218734152
386,2019-07-17,1009060.9250502951
387,2019-07-18,1002328.2380023367
388,2019-07-19,993656.9958739645
389,2019-07-22,996253.8154349691
390,2019-07-23,999925.3202910788
391,2019-07-24,999265.365253008
392,2019-07-25,992080.9936973231
393,2019-07-26,1001416.8237659113
394,2019-07-29,1001093.3244411128
395,2019-07-30,1004443.2035533565
396,2019-07-31,984411.0920019572
397,2019-08-01,974190.2747081912
398,2019-08-02,971322.952042023
399,2019-08-05,944222.9779571688
400,2019-08-06,956633.632194916
401,2019-08-07,958076.1565612948
402,2019-08-08,971645.5626625216
403,2019-08-09,966245.5791057742
404,2019-08-12,949639.3792690431
405,2019-08-13,968442.6108707583
406,2019-08-14,939651.0329002534
407,2019-08-15,939856.4941467439
408,2019-08-16,953722.2374595797
409,2019-08-19,961913.549086014
410,2019-08-20,948640.020193497
411,2019-08-21,954396.656223694
412,2019-08-22,941076.6271328127
413,2019-08-23,919418.9481376803
414,2019-08-26,924694.7600025332
415,2019-08-27,906363.8498710786
416,2019-08-28,920800.0823043978
417,2019-08-29,935104.5964492953
418,2019-08-30,944574.1476673281
419,2019-09-03,933282.2258876956
420,2019-09-04,937530.6498569644
421,2019-09-05,953950.1409038699
422,2019-09-06,953994.1628441011
423,2019-09-09,966055.9013466036
